Country Name,region,Image URL,1995,1995.1,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Mozambique,137,,,,,,,,,323,541,441,470,578,664,771,"1,193,000","1,461,000","1,718,000","1,902,000","2,113,000","1,886,000","1,661,000","1,552,000","1,639,000","1,447,000"
Mauritania,138,,,,,,,24,30,,,,,,,,,,,,,,,,,
Mauritius,139,,422,422,487,536,558,578,656,660,682,702,719,761,788,907,930,871,935,965,965,993,"1,038,000","1,151,000","1,275,000","1,342,000"
Malawi,140,,192,192,194,207,220,254,228,266,383,424,427,438,638,735,742,755,746,767,770,795,819,805,849,837
Malaysia,141,https://www.countryflags.io/my/flat/64.png,"7,469,000","7,469,000","7,138,000","6,211,000","5,551,000","7,931,000","10,222,000","12,775,000","13,292,000","10,577,000","15,703,000","16,431,000","17,547,000","20,973,000","22,052,000","23,646,000","24,577,000","24,714,000","25,033,000","25,715,000","27,437,000","25,721,000","26,757,000","25,948,000"
Namibia,142,,272,272,461,502,614,635,656,670,757,695,716,778,833,929,931,980,984,"1,027,000","1,079,000","1,176,000","1,320,000","1,388,000","1,469,000","1,499,000"
New Caledonia,143,,86,86,91,105,104,100,110,101,104,102,100,101,100,103,104,99,99,112,112,108,107,114,116,121
Niger,144,,35,35,68,68,41,39,50,52,39,55,57,58,60,48,73,66,74,82,94,123,135,135,152,164
Nigeria,145,,656,656,822,611,739,776,813,850,887,924,962,"1,010,000","1,111,000","1,212,000","1,313,000","1,414,000","1,555,000",715,486,600,,"1,255,000","1,889,000",
Nicaragua,146,,281,281,303,358,406,468,486,483,472,526,615,712,749,800,858,932,"1,011,000","1,060,000","1,180,000","1,229,000","1,330,000","1,386,000","1,504,000","1,787,000"
Netherlands,147,https://www.countryflags.io/nl/flat/64.png,"6,574,000","6,574,000","6,580,000","7,841,000","9,312,000","9,874,000","10,003,000","9,500,000","9,595,000","9,181,000","9,646,000","10,012,000","10,739,000","11,008,000","10,104,000","9,921,000","10,883,000","11,300,000","11,680,000","12,783,000","13,925,000","15,007,000","15,828,000","17,924,000"
Norway,148,https://www.countryflags.io/no/flat/64.png,"2,880,000","2,880,000","2,746,000","2,702,000","3,256,000","3,223,000","3,104,000","3,073,000","3,111,000","3,269,000","3,628,000","3,824,000","4,070,000","4,377,000","4,347,000","4,346,000","4,767,000","4,963,000","4,538,000","4,778,000","4,855,000","5,361,000","5,960,000","6,252,000"
Nepal,149,,363,363,394,422,464,492,464,361,275,338,385,375,384,527,500,510,603,736,803,798,790,539,753,940
Nauru,150,,,,,,,,,,,,,,,,,,,,,,,,,
New Zealand,151,,,,,,"1,475,000","1,596,000","1,780,000","1,900,000","2,026,000","2,086,000","2,325,000","2,353,000","2,390,000","2,434,000","2,371,000","2,373,000","2,435,000","2,511,000","2,473,000","2,629,000","2,772,000","3,039,000","3,370,000","3,555,000"
Oman,152,,279,279,349,376,424,503,571,829,817,"1,039,000","1,195,000",891,"1,066,000","1,223,000","1,373,000","1,521,000","1,441,000","1,018,000","1,241,000","1,392,000","1,611,000","1,909,000","2,335,000","2,372,000"
Pakistan,154,,378,378,369,375,429,432,557,500,498,501,648,798,898,840,823,855,907,"1,161,000",966,,,,,
